Title,Abstract,Tiebreak,Tiebreaker,,
"GPT-4 generated psychological reports in psychodynamic perspective: a pilot study on quality, risk of hallucination and client satisfaction","Background: Recently, there have been active proposals on how to utilize large language models (LLMs) in the fields of psychiatry and counseling. It would be interesting to develop programs with LLMs that generate psychodynamic assessments to help individuals gain insights about themselves, and to evaluate the features of such services. However, studies on this subject are rare. This pilot study aims to evaluate quality, risk of hallucination (incorrect AI-generated information), and client satisfaction with psychodynamic psychological reports generated by GPT-4. Methods: The report comprised five components: psychodynamic formulation, psychopathology, parental influence, defense mechanisms, and client strengths. Participants were recruited from individuals distressed by repetitive interpersonal issues. The study was conducted in three steps: 1) Questions provided to participants, designed to create psychodynamic formulations: 14 questions were generated by GPT for inferring psychodynamic formulations, while 6 fixed questions focused on the participants’ relationship with their parents. A total of 20 questions were provided. Using participants’ responses to these questions, GPT-4 generated the psychological reports. 2) Seven professors of psychiatry from different university hospitals evaluated the quality and risk of hallucinations in the psychological reports by reading the reports only, without meeting the participants. This quality assessment compared the psychological reports generated by GPT-4 with those inferred by the experts. 3) Participants evaluated their satisfaction with the psychological reports. All assessments were conducted using self-report questionnaires based on a Likert scale developed for this study. Results: A total of 10 participants were recruited, and the average age was 32 years. The median response indicated that quality of all five components of the psychological report was similar to the level inferred by the experts. The risk of hallucination was assessed as ranging from unlikely to minor. According to the median response in the satisfaction evaluation, the participants agreed that the report is clearly understandable, insightful, credible, useful, satisfying, and recommendable. Conclusion: This study suggests the possibility that artificial intelligence could assist users by providing psychodynamic interpretations. Copyright © 2025 Kim, Lee, Park, On, Lee, Keum, Oh, Song, Lee, Won, Shin, Lho, Hwang and Kim.",III,Robert,,
Information Quality and Readability: ChatGPT's Responses to the Most Common Questions About Spinal Cord Injury,"Objective: This study aimed to assess the quality, readability, and comprehension of texts generated by ChatGPT in response to commonly asked questions about spinal cord injury (SCI). Methods: The study utilized Google Trends to identify the most frequently searched keywords related to SCI. The identified keywords were sequentially inputted into ChatGPT, and the resulting responses were assessed for quality using the Ensuring Quality Information for Patients (EQIP) tool. The readability of the texts was analyzed using the Flesch-Kincaid grade level and the Flesch-Kincaid reading ease parameters. Results: The mean EQIP score of the texts was determined to be 43.02 ± 6.37, the Flesch-Kincaid reading ease score to be 26.24 ± 13.81, and the Flesch-Kincaid grade level was determined to be 14.84 ± 1.79. The analysis revealed significant concerns regarding the quality of texts generated by ChatGPT, indicating serious problems with readability and comprehension. The mean EQIP score was low, suggesting a need for improvement in the accuracy and reliability of the information provided. The Flesch-Kincaid grade level indicated a high linguistic complexity, requiring a level of education equivalent to approximately 14 to 15 years of formal education for comprehension. Conclusions: The results of this study show heightened complexity in ChatGPT-generated SCI texts, surpassing optimal health communication readability. ChatGPT currently cannot substitute comprehensive medical consultations. Enhancing text quality could be attainable through dependence on credible sources, the establishment of a scientific board, and collaboration with expert teams. Addressing these concerns could improve text accessibility, empowering patients and facilitating informed decision-making in SCI. © 2023 Elsevier Inc.",III,Robert,,
Assessing the performance of ChatGPT's responses to questions related to epilepsy: A cross-sectional study on natural language processing and medical information retrieval,"Background: Epilepsy is a neurological condition marked by frequent seizures and various cognitive and psychological effects. Reliable information is essential for effective treatment. Natural language processing models like ChatGPT are increasingly used in healthcare for information access and data analysis, making it crucial to assess their accuracy. Objective: This study aimed to investigate the accuracy of ChatGPT in providing educational information related to epilepsy. Methods: We compared the answers from ChatGPT-4 and ChatGPT-3.5 to 57 common epilepsy questions based on the Korean Epilepsy Society's ""Epilepsy Patient and Caregiver Guide."" Two epileptologists reviewed the responses, with a third serving as an arbiter in cases of disagreement. Results: Out of 57 questions, 40 responses from ChatGPT-4 had ""sufficient educational value,"" 16 were ""correct but inadequate,"" and one was ""mixed with correct and incorrect"" information. No answers were entirely incorrect. GPT-4 generally outperformed GPT-3.5 and was often on par with or better than the official guide. Conclusions: ChatGPT-4 shows promise as a tool for delivering reliable epilepsy-related information and could help alleviate the educational burden on healthcare professionals. Further research is needed to explore the benefits and limitations of using such models in medical contexts. © 2023",III,Robert,,
Evaluating base and retrieval augmented LLMs with document or online support for evidence based neurology,"Effectively managing evidence-based information is increasingly challenging. This study tested large language models (LLMs), including document- and online-enabled retrieval-augmented generation (RAG) systems, using 13 recent neurology guidelines across 130 questions. Results showed substantial variability. RAG improved accuracy compared to base models but still produced potentially harmful answers. RAG-based systems performed worse on case-based than knowledge-based questions. Further refinement and improved regulation is needed for safe clinical integration of RAG-enhanced LLMs. © The Author(s) 2025.",III,Robert,,
"Assessing the readability, quality and reliability of responses produced by ChatGPT, Gemini, and Perplexity regarding most frequently asked keywords about low back pain","Background: Patients who are informed about the causes, pathophysiology, treatment and prevention of a disease are better able to participate in treatment procedures in the event of illness. Artificial intelligence (AI), which has gained popularity in recent years, is defined as the study of algorithms that provide machines with the ability to reason and perform cognitive functions, including object and word recognition, problem solving and decision making. This study aimed to examine the readability, reliability and quality of responses to frequently asked keywords about low back pain (LBP) given by three different AI-based chatbots (ChatGPT, Perplexity and Gemini), which are popular applications in online information presentation today. Methods: All three AI chatbots were asked the 25 most frequently used keywords related to LBP determined with the help of Google Trend. In order to prevent possible bias that could be created by the sequential processing of keywords in the answers given by the chatbots, the study was designed by providing input from different users (EO, VH) for each keyword. The readability of the responses given was determined with the Simple Measure of Gobbledygook (SMOG), Flesch Reading Ease Score (FRES) and Gunning Fog (GFG) readability scores. Quality was assessed using the Global Quality Score (GQS) and the Ensuring Quality Information for Patients (EQIP) score. Reliability was assessed by determining with DISCERN and Journal of American Medical Association (JAMA) scales. Results: The first three keywords detected as a result of Google Trend search were “Lower Back Pain”, “ICD 10 Low Back Pain”, and “Low Back Pain Symptoms”. It was determined that the readability of the responses given by all AI chatbots was higher than the recommended 6th grade readability level (p < 0.001). In the EQIP, JAMA, modified DISCERN and GQS score evaluation, Perplexity was found to have significantly higher scores than other chatbots (p < 0.001). Conclusion: It has been determined that the answers given by AI chatbots to keywords about LBP are difficult to read and have low reliability and quality assessment. It is clear that when new chatbots are introduced, they can provide better guidance to patients with increased clarity and text quality. This study can provide inspiration for future studies on improving the algorithms and responses of AI chatbots.",III,Robert,,
Let's chat about cervical cancer: Assessing the accuracy of ChatGPT responses to cervical cancer questions,"Objective: To quantify the accuracy of ChatGPT in answering commonly asked questions pertaining to cervical cancer prevention, diagnosis, treatment, and survivorship/quality-of-life (QOL). Methods: ChatGPT was queried with 64 questions adapted from professional society websites and the authors' clinical experiences. The answers were scored by two attending Gynecologic Oncologists according to the following scale: 1) correct and comprehensive, 2) correct but not comprehensive, 3) some correct, some incorrect, and 4) completely incorrect. Scoring discrepancies were resolved by additional reviewers as needed. The proportion of responses earning each score were calculated overall and within each question category. Results: ChatGPT provided correct and comprehensive answers to 34 (53.1%) questions, correct but not comprehensive answers to 19 (29.7%) questions, partially incorrect answers to 10 (15.6%) questions, and completely incorrect answers to 1 (1.6%) question. Prevention and survivorship/QOL had the highest proportion of “correct” scores (scores of 1 or 2) at 22/24 (91.7%) and 15/16 (93.8%), respectively. ChatGPT performed less well in the treatment category, with 15/21 (71.4%) correct scores. It performed the worst in the diagnosis category with only 1/3 (33.3%) correct scores. Conclusion: ChatGPT accurately answers questions about cervical cancer prevention, survivorship, and QOL. It performs less accurately for cervical cancer diagnosis and treatment. Further development of this immensely popular large language model should include physician input before it can be utilized as a tool for Gynecologists or recommended as a patient resource for information on cervical cancer diagnosis and treatment. © 2023 Elsevier Inc.",III,Robert,,
Perspectives on AI-based recommendations for mask-wearing and COVID-19 vaccination for transplant recipients in the post-COVID-19 era,"3558. Ren Fail. 2024 Dec;46(1):2337291. doi: 10.1080/0886022X.2024.2337291. Epub 2024 
Apr 7.

Perspectives on AI-based recommendations for mask-wearing and COVID-19 
vaccination for transplant recipients in the post-COVID-19 era.

Garcia Valencia OA(1), Thongprayoon C(1), Miao J(1), Bruminhent J(2)(3), Craici 
IM(1), Cheungpasitporn W(1).

Author information:
(1)Division of Nephrology and Hypertension, Department of Medicine, Mayo Clinic, 
Rochester, MN, USA.
(2)Department of Medicine, Division of Infectious Diseases, Faculty of Medicine 
Ramathibodi Hospital, Mahidol University, Bangkok, Thailand.
(3)Ramathibodi Excellence Center for Organ Transplantation, Faculty of Medicine 
Ramathibodi Hospital, Mahidol University, Bangkok, Thailand.

In the aftermath of the COVID-19 pandemic, the ongoing necessity for preventive 
measures such as mask-wearing and vaccination remains particularly critical for 
organ transplant recipients, a group highly susceptible to infections due to 
immunosuppressive therapy. Given that many individuals nowadays increasingly 
utilize Artificial Intelligence (AI), understanding AI perspectives is 
important. Thus, this study utilizes AI, specifically ChatGPT 4.0, to assess its 
perspectives in offering precise health recommendations for mask-wearing and 
COVID-19 vaccination tailored to this vulnerable population. Through a series of 
scenarios reflecting diverse environmental settings and health statuses in 
December 2023, we evaluated the AI's responses to gauge its precision, 
adaptability, and potential biases in advising high-risk patient groups. Our 
findings reveal that ChatGPT 4.0 consistently recommends mask-wearing in crowded 
and indoor environments for transplant recipients, underscoring their elevated 
risk. In contrast, for settings with fewer transmission risks, such as outdoor 
areas where social distancing is possible, the AI suggests that mask-wearing 
might be less imperative. Regarding vaccination guidance, the AI strongly 
advocates for the COVID-19 vaccine across most scenarios for kidney transplant 
recipients. However, it recommends a personalized consultation with healthcare 
providers in cases where patients express concerns about vaccine-related side 
effects, demonstrating an ability to adapt recommendations based on individual 
health considerations. While this study provides valuable insights into the 
current AI perspective on these important topics, it is crucial to note that the 
findings do not directly reflect or influence health policy. Nevertheless, given 
the increasing utilization of AI in various domains, understanding AI's 
viewpoints on such critical matters is essential for informed decision-making 
and future research.",III,Robert,,
ICGA-GPT: Report generation and question answering for indocyanine green angiography images,"Background Indocyanine green angiography (ICGA) is vital for diagnosing chorioretinal diseases, but its interpretation and patient communication require extensive expertise and time-consuming efforts. We aim to develop a bilingual ICGA report generation and question-answering (QA) system. Methods Our dataset comprised 213 129 ICGA images from 2919 participants. The system comprised two stages: image-text alignment for report generation by a multimodal transformer architecture, and large language model (LLM)-based QA with ICGA text reports and human-input questions. Performance was assessed using both qualitative metrics (including Bilingual Evaluation Understudy (BLEU), Consensus-based Image Description Evaluation (CIDEr), Recall-Oriented Understudy for Gisting Evaluation-Longest Common Subsequence (ROUGE-L), Semantic Propositional Image Caption Evaluation (SPICE), accuracy, sensitivity, specificity, precision and F1 score) and subjective evaluation by three experienced ophthalmologists using 5-point scales (5 refers to high quality). Results We produced 8757 ICGA reports covering 39 disease-related conditions after bilingual translation (66.7% English, 33.3% Chinese). The ICGA-GPT model's report generation performance was evaluated with BLEU scores (1-4) of 0.48, 0.44, 0.40 and 0.37; CIDEr of 0.82; ROUGE of 0.41 and SPICE of 0.18. For disease-based metrics, the average specificity, accuracy, precision, sensitivity and F1 score were 0.98, 0.94, 0.70, 0.68 and 0.64, respectively. Assessing the quality of 50 images (100 reports), three ophthalmologists achieved substantial agreement (kappa=0.723 for completeness, kappa=0.738 for accuracy), yielding scores from 3.20 to 3.55. In an interactive QA scenario involving 100 generated answers, the ophthalmologists provided scores of 4.24, 4.22 and 4.10, displaying good consistency (kappa=0.779). Conclusion This pioneering study introduces the ICGA-GPT model for report generation and interactive QA for the first time, underscoring the potential of LLMs in assisting with automated ICGA image interpretation.  © Author(s) (or their employer(s)) 2024. No commercial re-use. See rights and permissions. Published by BMJ.",III,Robert,,
Performance Evaluation of Multimodal Large Language Models (LLaVA and GPT-4-based ChatGPT) in Medical Image Classification Tasks,"Large language models (LLMs) have gained significant attention due to their prospective applications in medicine. Utilizing multimodal LLMs can potentially assist clinicians in medical image classification tasks. It is important to evaluate the performance of LLMs in medical image processing to potentially improve the medical system. We evaluated two multimodal LLMs (LLaVA and GPT-4-based ChatGPT) against the classic VGG in tumor classification across brain MRI, breast ultrasound, and kidney CT datasets. Despite LLMs facing significant hallucination issue in medical imaging, prompt engineering markedly enhanced their performance. In comparison to the baseline method, GPT-4-based ChatGPT with prompt engineering achieves 98%, 112%, and 69% of the baseline's performance in terms of accuracy (or 99%, 107%, and 62 % in terms of F1-score) in those three datasets, respectively. However, privacy, bias, accountability, and transparency concerns necessitate caution. Our study underscore LLMs' potential in medical imaging but emphasize the need for thorough performance and safety evaluations for their practical application. © 2024 IEEE.",III,Robert,,
PAINe: An Artificial Intelligence-based Virtual Assistant to Aid in the Differentiation of Pain of Odontogenic versus Temporomandibular Origin,"INTRODUCTION: Pain associated with temporomandibular dysfunction (TMD) is often 
confused with odontogenic pain, which is a challenge in endodontic diagnosis. 
Validated screening questionnaires can aid in the identification and 
differentiation of the source of pain. Therefore, this study aimed to develop a 
virtual assistant based on artificial intelligence using natural language 
processing techniques to automate the initial screening of patients with tooth 
pain.
METHODS: The PAINe chatbot was developed in Python (Python Software Foundation, 
Beaverton, OR) language using the PyCharm (JetBrains, Prague, Czech Republic) 
environment and the openai library to integrate the ChatGPT 4 API (OpenAI, San 
Francisco, CA) and the Streamlit library (Snowflake Inc, San Francisco, CA) for 
interface construction. The validated TMD Pain Screener questionnaire and 1 
question regarding the current pain intensity were integrated into the chatbot 
to perform the differential diagnosis of TMD in patients with tooth pain. The 
accuracy of the responses was evaluated in 50 random scenarios to compare the 
chatbot with the validated questionnaire. The kappa coefficient was calculated 
to assess the agreement level between the chatbot responses and the validated 
questionnaire.
RESULTS: The chatbot achieved an accuracy rate of 86% and a substantial level of 
agreement (κ = 0.70). Most responses were clear and provided adequate 
information about the diagnosis.
CONCLUSIONS: The implementation of a virtual assistant using natural language 
processing based on large language models for initial differential diagnosis 
screening of patients with tooth pain demonstrated substantial agreement between 
validated questionnaires and the chatbot. This approach emerges as a practical 
and efficient option for screening these patients.

Copyright © 2024 American Association of Endodontists. Published by Elsevier 
Inc. All rights reserved.",III,Robert,,
GPT-4 accuracy and completeness against International Consensus Statement on Allergy and Rhinology: Rhinosinusitis,"19. Int Forum Allergy Rhinol. 2023 Dec;13(12):2231-2234. doi: 10.1002/alr.23201. 
Epub 2023 Jun 16.

GPT-4 accuracy and completeness against International Consensus Statement on 
Allergy and Rhinology: Rhinosinusitis.

Yoshiyasu Y(1), Wu F(2), Dhanda AK(2), Gorelik D(2), Takashima M(2), Ahmed 
OG(2).

Author information:
(1)Department of Otolaryngology-Head and Neck Surgery, University of Texas 
Medical Branch, Galveston, Texas, USA.
(2)Department of Otolaryngology-Head and Neck Surgery, Houston Methodist 
Hospital, Houston, Texas, USA.

GPT-4 is an AI language model that can answer basic questions about rhinologic 
disease. Vetting is needed before AI models can be safely integrated into 
otolarygologic patient care.

© 2023 ARS-AAOA, LLC.",III,Robert,,
TCM-GPT: Efficient pre-training of large language models for domain adaptation in Traditional Chinese Medicine,"Pre-training and fine-tuning have emerged as a promising paradigm across various natural language processing (NLP) tasks. The effectiveness of pretrained large language models (LLM) has witnessed further enhancement, holding potential for applications in the field of medicine, particularly in the context of Traditional Chinese Medicine (TCM). However, the application of these general models to specific domains often yields suboptimal results, primarily due to challenges like lack of domain knowledge, unique objectives, and computational efficiency. Furthermore, their effectiveness in specialized domains, such as Traditional Chinese Medicine, requires comprehensive evaluation. To address the above issues, we propose a novel domain specific TCMDA (TCM Domain Adaptation) approach, efficient pre-training with domain-specific corpus. Specifically, we first construct a large TCM-specific corpus, TCM-Corpus-1B, by identifying domain keywords and retrieving from general corpus. Then, our TCMDA leverages the LoRA which freezes the pretrained model's weights and uses rank decomposition matrices to efficiently train specific dense layers for pre-training and fine-tuning, efficiently aligning the model with TCM-related tasks, namely TCM-GPT-7B. We further conducted extensive experiments on two TCM tasks, including TCM examination and TCM diagnosis. TCM-GPT-7B archived the best performance across both datasets, outperforming other models by relative increments of 17% and 12% in accuracy, respectively. To the best of our knowledge, our study represents the pioneering validation of domain adaptation of a large language model with 7 billion parameters in TCM domain. We will release both TCM-Corpus-1B and TCM-GPT-7B model once accepted to facilitate interdisciplinary development in TCM and NLP, serving as the foundation for further study. © 2024 The Authors",III,Robert,,
"MedFrenchmark, a Small Set for Benchmarking Generative LLMs in Medical French","Generative Large Language Models (LLMs) have become ubiquitous in various fields, including healthcare and medicine. Consequently, there is growing interest in leveraging LLMs for medical applications, leading to the emergence of novel models daily. However, evaluation and benchmarking frameworks for LLMs are scarce, particularly those tailored for medical French. To address this gap, we introduce a minimal benchmark consisting of 114 open questions designed to assess the medical capabilities of LLMs in French. The proposed benchmark encompasses a wide range of medical domains, reflecting real-world clinical scenarios' complexity. A preliminary validation involved testing seven widely used LLMs with a parameter size of 7 billion. Results revealed significant variability in performance, emphasizing the importance of rigorous evaluation before deploying LLMs in medical settings. In conclusion, we present a novel and valuable resource for rapidly evaluating LLMs in medical French. By promoting greater accountability and standardization, this benchmark has the potential to enhance trustworthiness and utility in harnessing LLMs for medical applications. © 2024 The Authors.",III,Robert,,
Toward expert-level medical question answering with large language models,"8.

Toward expert-level medical question answering with large language models.

Singhal K(#)(1), Tu T(#)(1), Gottweis J(#)(1), Sayres R(#)(1), Wulczyn E(1), 
Amin M(1), Hou L(1), Clark K(2), Pfohl SR(1), Cole-Lewis H(1), Neal D(1), Rashid 
QM(1), Schaekermann M(1), Wang A(1), Dash D(3), Chen JH(4)(5)(6), Shah NH(7)(8), 
Lachgar S(1), Mansfield PA(1), Prakash S(1), Green B(1), Dominowska E(2), Agüera 
Y Arcas B(1), Tomašev N(2), Liu Y(1), Wong R(1), Semturs C(1), Mahdavi SS(2), 
Barral JK(2), Webster DR(1), Corrado GS(1), Matias Y(1), Azizi S(9), 
Karthikesalingam A(10), Natarajan V(11).

Author information:
(1)Google Research, Mountain View, CA, USA.
(2)Google DeepMind, Mountain View, CA, USA.
(3)Department of Emergency Medicine, Stanford University School of Medicine, 
Stanford, CA, USA.
(4)Stanford Center for Biomedical Informatics Research, Stanford University, 
Stanford, CA, USA.
(5)Division of Hospital Medicine, Stanford University, Stanford, CA, USA.
(6)Clinical Excellence Research Center, Stanford University, Stanford, CA, USA.
(7)Department of Medicine, Stanford University School of Medicine, Stanford, CA, 
USA.
(8)Technology and Digital Solutions, Stanford Healthcare, Palo Alto, CA, USA.
(9)Google DeepMind, Mountain View, CA, USA. shekazizi@google.com.
(10)Google Research, Mountain View, CA, USA. alankarthi@google.com.
(11)Google Research, Mountain View, CA, USA. natviv@google.com.
(#)Contributed equally

Large language models (LLMs) have shown promise in medical question answering, 
with Med-PaLM being the first to exceed a 'passing' score in United States 
Medical Licensing Examination style questions. However, challenges remain in 
long-form medical question answering and handling real-world workflows. Here, we 
present Med-PaLM 2, which bridges these gaps with a combination of base LLM 
improvements, medical domain fine-tuning and new strategies for improving 
reasoning and grounding through ensemble refinement and chain of retrieval. 
Med-PaLM 2 scores up to 86.5% on the MedQA dataset, improving upon Med-PaLM by 
over 19%, and demonstrates dramatic performance increases across MedMCQA, 
PubMedQA and MMLU clinical topics datasets. Our detailed human evaluations 
framework shows that physicians prefer Med-PaLM 2 answers to those from other 
physicians on eight of nine clinical axes. Med-PaLM 2 also demonstrates 
significant improvements over its predecessor across all evaluation metrics, 
particularly on new adversarial datasets designed to probe LLM limitations 
(P < 0.001). In a pilot study using real-world medical questions, specialists 
preferred Med-PaLM 2 answers to generalist physician answers 65% of the time. 
While specialist answers were still preferred overall, both specialists and 
generalists rated Med-PaLM 2 to be as safe as physician answers, demonstrating 
its growing potential in real-world medical applications.

© 2025. The Author(s).",III,Robert,,
Efficacy and safety of artificial intelligence-based large language models for decision making support in herniology: evaluation by experts and general surgeons,"Objective. To evaluate the quality of recommendations provided by ChatGPT regarding inguinal hernia repair. Material and methods. ChatGPT was asked 5 questions about surgical management of inguinal hernias. The chat-bot was assigned the role of expert in herniology and requested to search only specialized medical databases and provide information about references and evidence. Herniology experts and surgeons (non-experts) rated the quality of recommendations generated by ChatGPT using 4-point scale (from 0 to 3 points). Statistical correlations were explored between participants' ratings and their stance regarding artificial intelligence. Results. Experts scored the quality of ChatGPT responses lower than non-experts (2 (1-2) vs. 2 (2-3), p<0.001). The chat-bot failed to provide valid references and actual evidence, as well as falsified half of references. Respondents were optimistic about the future of neural networks for clinical decision-making support. Most of them were against restricting their use in healthcare. Conclusion. We would not recommend non-specialized large language models as a single or primary source of information for clinical decision making or virtual searching assistant. © 2024 Media Sphera Publishing Group. All rights reserved.",III,Robert,,
Postoperative Otoplasty Care With ChatGPT-4: A Study on Artificial Intelligence (AI)-Assisted Patient Concern and Education,"Background: Otoplasty is a cosmetic surgery that is performed to alter the size, shape, or position of the ear by using permanent stitches. Its main purpose is to correct protruding ears, a condition known as prominauris. After the surgery, it is crucial to provide proper care to ensure successful recovery. However, obtaining timely medical advice can be difficult, especially in remote areas or places with limited resources. To address this issue, incorporating advanced artificial intelligence (AI) tools like Chat Generative Pre-trained Transformer (ChatGPT)-4 into postsurgical care could help fill the gap in patient education and support. Aim: This study aims to assess whether ChatGPT4 can be a reliable, accurate, and effective method for answering the most common patient questions and concerns post-otoplasty. The main objective was to assess the AI chatbot’s capacity to deliver precise, concise, and pertinent information, especially in situations where health care professionals are limited in availability. Materials and Methods: In this study, over 50 patients were engaged, and ChatGPT4 was employed to present the same 5 common postoperative questions post-otoplasty surgery care. The AI chatbot’s responses were analyzed for accuracy, response time, clarity, and relevance. Results: The chatbot could potentially provide timely assistance, answer questions, and address concerns related to postsurgical care in otoplasty. The responses exhibited a perfect accuracy rate of 100%, closely corresponding to existing medical guidelines. Conclusion: This study explores the potential of AI-driven solutions to enhance patient education and support, especially in areas where access to health care professionals may be limited. However, professional medical advice is crucial in postoperative care and cannot be replaced by ChatGPT-4. By leveraging AI tools like chatbots, individuals in remote or resource-limited settings can potentially receive valuable information and guidance, contributing to successful rehabilitation and overall health care outcomes. Ethical considerations around the use of AI in health care must also be carefully addressed to ensure patient privacy, data security, and appropriate clinical oversight. Copyright © 2024 by Mutaz B. Habal, MD.",II,Anton,I read the paper but could not identify how the 50 patients were exactly engaged as questions were synthetic and asssesed by medical profesionals. Hence do not consider prospective. ,
Retrieval Augmented Therapy Suggestion for Molecular Tumor Boards: Algorithmic Development and Validation Study,"Background: Molecular tumor boards (MTBs) require intensive manual investigation to generate optimal treatment recommendations for patients. Large language models (LLMs) can catalyze MTB recommendations, decrease human error, improve accessibility to care, and enhance the efficiency of precision oncology. Objective: In this study, we aimed to investigate the efficacy of LLM-generated treatments for MTB patients. We specifically investigate the LLMs’ ability to generate evidence-based treatment recommendations using PubMed references. Methods: We built a retrieval augmented generation pipeline using PubMed data. We prompted the resulting LLM to generate treatment recommendations with PubMed references using a test set of patients from an MTB conference at a large comprehensive cancer center at a tertiary care institution. Members of the MTB manually assessed the relevancy and correctness of the generated responses. Results: A total of 75% of the referenced articles were properly cited from PubMed, while 17% of the referenced articles were hallucinations, and the remaining were not properly cited from PubMed. Clinician-generated LLM queries achieved higher accuracy through clinician evaluation than automated queries, with clinicians labeling 25% of LLM responses as equal to their recommendations and 37.5% as alternative plausible treatments. Conclusions: This study demonstrates how retrieval augmented generation–enhanced LLMs can be a powerful tool in accelerating MTB conferences, as LLMs are sometimes capable of achieving clinician-equal treatment recommendations. However, further investigation is required to achieve stable results with zero hallucinations. LLMs signify a scalable solution to the time-intensive process of MTB investigations. However, LLM performance demonstrates that they must be used with heavy clinician supervision, and cannot yet fully automate the MTB pipeline. ©Eliza Berman, Holly Sundberg Malek, Michael Bitzer, Nisar Malek, Carsten Eickhoff.",I,Anton,This was a disagreement between a reviewer who ranked it as I and III.,
Appraising the performance of ChatGPT in psychiatry using 100 clinical case vignettes,"Background: ChatGPT has emerged as the most advanced and rapidly developing large language chatbot system. With its immense potential ranging from answering a simple query to cracking highly competitive medical exams, ChatGPT continues to impress the scientists and researchers worldwide giving room for more discussions regarding its utility in various fields. One such field of attention is Psychiatry. With suboptimal diagnosis and treatment, assuring mental health and well-being is a challenge in many countries, particularly developing nations. To this regard, we conducted an evaluation to assess the performance of ChatGPT 3.5 in Psychiatry using clinical cases to provide evidence-based information regarding the implication of ChatGPT 3.5 in enhancing mental health and well-being. Methods: ChatGPT 3.5 was used in this experimental study to initiate the conversations and collect responses to clinical vignettes in Psychiatry. Using 100 clinical case vignettes, the replies were assessed by expert faculties from the Department of Psychiatry. There were 100 different psychiatric illnesses represented in the cases. We recorded and assessed the initial ChatGPT 3.5 responses. The evaluation was conducted using the objective of questions that were put forth at the conclusion of the case, and the aim of the questions was divided into 10 categories. The grading was completed by taking the mean value of the scores provided by the evaluators. Graphs and tables were used to represent the grades. Results: The evaluation report suggests that ChatGPT 3.5 fared extremely well in Psychiatry by receiving “Grade A” ratings in 61 out of 100 cases, “Grade B” ratings in 31, and “Grade C” ratings in 8. Majority of the queries were concerned with the management strategies, which were followed by diagnosis, differential diagnosis, assessment, investigation, counselling, clinical reasoning, ethical reasoning, prognosis, and request acceptance. ChatGPT 3.5 performed extremely well, especially in generating management strategies followed by diagnoses for different psychiatric conditions. There were no responses which were graded “D” indicating that there were no errors in the diagnosis or response for clinical care. Only a few discrepancies and additional details were missed in a few responses that received a “Grade C” Conclusion: It is evident from our study that ChatGPT 3.5 has appreciable knowledge and interpretation skills in Psychiatry. Thus, ChatGPT 3.5 undoubtedly has the potential to transform the field of Medicine and we emphasize its utility in Psychiatry through the finding of our study. However, for any AI model to be successful, assuring the reliability, validation of information, proper guidelines and implementation framework are necessary. © 2023 Elsevier B.V.",III,Anton,"I can see this being I, but clinical vignettes seem more like III in the same land as board examination questions,",
Uncovering Language Disparity of ChatGPT in Healthcare: Non-English Clinical Environment for Retinal Vascular Disease Classification,"Objective: To evaluate the effectiveness and reasoning ability of ChatGPT in diagnosing retinal vascular diseases in the Chinese clinical environment. Materials and Methods: We collected 1226 fundus fluorescein angiography reports and corresponding diagnosis written in Chinese, and tested ChatGPT with four prompting strategies (direct diagnosis or diagnosis with explanation and in Chinese or English). Results: ChatGPT using English prompt for direct diagnosis achieved the best performance, with F1-score of 80.05%, which was inferior to ophthalmologists (89.35%) but close to ophthalmologist interns (82.69%). Although ChatGPT can derive reasoning process with a low error rate, mistakes such as misinformation (1.96%), and hallucination (0.59%) still exist. Discussion and Conclusions: ChatGPT can serve as a helpful medical assistant to provide diagnosis under non-English clinical environments, but there are still performance gaps, language disparity, and errors compared to professionals, which demonstrates the potential limitations and the desiration to continually explore more robust LLMs in ophthalmology practice.",I,Anton,"This feels like a prospectively collected data for a diagnosis based on a report, so a clinical task? I will say I.",
