Title,Abstract,Comments 1,Comments 2,Screener 1,Screener 2,Eunice,Final Decision
Medical Text Prediction and Suggestion Using Generative Pretrained Transformer Models with Dental Medical Notes,"Background  Generative pretrained transformer (GPT) models are one of the latest large pretrained natural language processing models that enables model training with limited datasets and reduces dependency on large datasets, which are scarce and costly to establish and maintain. There is a rising interest to explore the use of GPT models in health care. Objective  We investigate the performance of GPT-2 and GPT-Neo models for medical text prediction using 374,787 free-text dental notes. Methods  We fine-tune pretrained GPT-2 and GPT-Neo models for next word prediction on a dataset of over 374,000 manually written sections of dental clinical notes. Each model was trained on 80% of the dataset, validated on 10%, and tested on the remaining 10%. We report model performance in terms of next word prediction accuracy and loss. Additionally, we analyze the performance of the models on different types of prediction tokens for categories. For comparison, we also fine-tuned a non-GPT pretrained neural network model, XLNet (large), for next word prediction. We annotate each token in 100 randomly sampled notes by category (e.g., names, abbreviations, clinical terms, punctuation, etc.) and compare the performance of each model by token category. Results  Models present acceptable accuracy scores (GPT-2: 76%; GPT-Neo: 53%), and the GPT-2 model also performs better in manual evaluations, especially for names, abbreviations, and punctuation. Both GPT models outperformed XLNet in terms of accuracy. The results suggest that pretrained models have the potential to assist medical charting in the future. We share the lessons learned, insights, and suggestions for future implementations. Conclusion  The results suggest that pretrained models have the potential to assist medical charting in the future. Our study presented one of the first implementations of the GPT model used with medical notes. © 2022 Georg Thieme Verlag. All rights reserved.",This is a weird study,,No,Yes,"Agree weird study, I think in a weird roundabout way it's trying to do note writing...",Yes
Application of a general LLM-based classification system to retrieve information about oncological trials,"Purpose: The automated classification of clinical trials and medical literature is increasingly relevant, particularly in oncology, as the volume of publications and trial reports continues to expand. Large Language Models (LLMs) may provide new opportunities for automated diverse classification tasks. In this study, we developed a general-purpose text classification framework using LLMs and evaluated its performance on oncological trial classification tasks. Methods and Materials: A general text classification framework with adaptable prompt, model and categories for the classification was developed. The framework was tested with four datasets comprising nine binary classification questions related to oncological trials. Evaluation was conducted using a locally hosted version of Mixtral-8x7B-Instruct v0.1 and three cloud-based LLMs: Mixtral-8x7BInstruct v0.1, Llama3.1-70B-Instruct, and Qwen-2.5-72B. Results: The system consistently produced valid responses with the local Mixtral-8x7B-Instruct model and the Llama3.1-70B-Instruct model. It achieved a response validity rate of 99.70% and 99.88% for the cloud-based Mixtral and Qwen models, respectively. Across all models, the framework achieved an overall accuracy of >94%, precision of >92%, recall of >90%, and an F1-score of >92%. Question-specific accuracy ranged from 86.33% to 99.83% for the local Mixtral model, 85.49% to 99.83% for the cloud-based Mixtral model, 90.50% to 99.83% for the Llama3.1 model, and 77.13% to 99.83% for the Qwen model. Conclusions: The LLM-based classification framework exhibits robust accuracy and adaptability across various oncological trial classification tasks. The findings highlight the potential of automated, LLM-driven trial classification systems, which may become increasingly used in oncology.",,,No,Yes,Trial classification is not a clinical task,No
A Future of Self-Directed Patient Internet Research: Large Language Model-Based Tools Versus Standard Search Engines,"Purpose: As generalist large language models (LLMs) become more commonplace, patients will inevitably increasingly turn to these tools instead of traditional search engines. Here, we evaluate publicly available LLM-based chatbots as tools for patient education through physician review of responses provided by Google, Bard, GPT-3.5 and GPT-4 to commonly searched queries about prevalent chronic health conditions in the United States. Methods: Five distinct commonly Google-searched queries were selected for (i) hypertension, (ii) hyperlipidemia, (iii) diabetes, (iv) anxiety, and (v) mood disorders and prompted into each model of interest. Responses were assessed by board-certified physicians for accuracy, comprehensiveness, and overall quality on a five-point Likert scale. The Flesch-Kincaid Grade Levels were calculated to assess readability. Results: GPT-3.5 (4.40 ± 0.48, 4.29 ± 0.43) and GPT-4 (4.35 ± 0.30, 4.24 ± 0.28) received higher ratings in comprehensiveness and quality than Bard (3.79 ± 0.36, 3.87 ± 0.32) and Google (1.87 ± 0.42, 2.11 ± 0.47), all p < 0.05. However, Bard (9.45 ± 1.35) and Google responses (9.92 ± 5.31) had a lower average Flesch-Kincaid Grade Level compared to GPT-3.5 (14.69 ± 1.57) and GPT-4 (12.88 ± 2.02), indicating greater readability. Conclusion: This study suggests that publicly available LLM-based tools may provide patients with more accurate responses to queries on chronic health conditions than answers provided by Google search. These results provide support for the use of these tools in place of traditional search engines for health-related queries.",,Answering patient's questions,Yes,Maybe?,,Yes
Differentiating between GPT-generated and human-written feedback for radiology residents,"Purpose: Recent competency-based medical education (CBME) implementation within Canadian radiology programs has required faculty to conduct more assessments. The rise of narrative feedback in CBME, coinciding with the rise of large language models (LLMs), raises questions about the potential of these models to generate informative comments matching human experts and associated challenges. This study compares human-written feedback to GPT-3.5-generated feedback for radiology residents, and how well raters can differentiate between these sources. Methods: Assessments were completed by 28 faculty members for 10 residents within a Canadian Diagnostic Radiology program (2019–2023). Comments were extracted from Elentra, de-identified, and parsed into sentences, of which 110 were randomly selected for analysis. 11 of these comments were entered into GPT-3.5, generating 110 synthetic comments that were mixed with actual comments. Two faculty raters and GPT-3.5 read each comment to predict whether it was human-written or GPT-generated. Results: Actual comments from humans were often longer and more specific than synthetic comments, especially when describing clinical procedures and patient interactions. Source differentiation was more difficult when both feedback types were similarly vague. Low agreement (k=-0.237) between responses provided by GPT-3.5 and humans was observed. Human raters were also more accurate (80.5 %) at identifying actual and synthetic comments than GPT-3.5 (50 %). Conclusion: Currently, GPT-3.5 cannot match human experts in delivering specific, nuanced feedback for radiology residents. Compared to humans, GPT-3.5 also performs worse in distinguishing between actual and synthetic comments. These insights could guide the development of more sophisticated algorithms to produce higher-quality feedback, supporting faculty development. © 2025 The Author(s)",Not doing a patient care related task,"Not sure what the point of using LLM to regurgitate formative assessments about residents is. it's one thing if the LLM is able to output high quality constructive feedback based on an input of all the resident's notes or clinical encounters or other metrics of perfomance, but that doesn't seem to be the case here",No,Maybe?,Not a clinical task,No
Ubie Symptom Checker: A Clinical Vignette Simulation Study,"Background AI-driven symptom checkers (SC) are increasingly adopted in healthcare for their potential to provide users with accessible and immediate preliminary health education. These tools, powered by advanced artificial intelligence algorithms, assist patients in quickly assessing their symptoms. Previous studies using clinical vignette approaches have evaluated SC accuracy, highlighting both strengths and areas for improvement. Objective This study aims to evaluate the performance of the Ubie Symptom Checker (Ubie SC) using an innovative large language model-assisted (LLM) simulation method. Methods The study employed a three-phase methodology: gathering 400 publicly available clinical vignettes, medical entity linking these vignettes to the Ubie SC using large language models and physician supervision, and evaluation of accuracy metrics. The analysis focused on 328 vignettes that were within the scope of the Ubie SC with accuracy measured by Top-5 hit rates. Results Ubie achieved a Top-5 hit accuracy of 63.4% and a Top-10 hit accuracy of 71.6%, indicating its effectiveness in providing relevant information based on symptom input. The system performed particularly well in domains such as the nervous system and respiratory conditions, though variability in accuracy was observed across different ICD groupings, highlighting areas for further refinement. When compared to physicians and comparator SC’s that used the same clinical vignettes set, Ubie compared favorably to the median physician hit accuracy. Conclusions The Ubie Symptom Checker shows considerable promise as a supportive education tool in healthcare. While the study highlights the system's strengths, it also identifies areas for improvement suggesting continued refinement and real-world testing are essential to fully realize Ubie's potential in AI-assisted healthcare.",,seems like they're using LLM to create vignettes for simulation testing of Ubie Symptom Checker (which is AI based but don't think it's LLM),Yes,Maybe?,"Study is an evaluation of the Ubie Symptom Checker (not an LLM), only uses an LLM to run ""simulations"" to test the Ubie tool. ",No
"Performance assessment of ChatGPT 4, ChatGPT 3.5, Gemini Advanced Pro 1.5 and Bard 2.0 to problem solving in pathology in French language","Digital teaching diversifies the ways of knowledge assessment, as natural language processing offers the possibility of answering questions posed by students and teachers. Objective: This study evaluated ChatGPT's, Bard's and Gemini's performances on second year of medical studies’ (DFGSM2) Pathology exams from the Health Sciences Center of Dijon (France) in 2018–2022. Methods: From 2018 to 2022, exam scores, discriminating powers and discordance rates were retrieved. Seventy questions (25 first-order single response questions and 45 second-order multiple response questions) were submitted on May 2023 to ChatGPT 3.5 and Bard 2.0, and on September 2024 to Gemini 1.5 and ChatGPT-4. Chatbot's and student's average scores were compared, as well as discriminating powers of questions answered by chatbots. The percentage of student–chatbot identical answers was retrieved, and linear regression analysis correlated the scores of chatbots with student's discordance rates. Chatbot's reliability was assessed by submitting the questions in four successive rounds and comparing score variability using a Fleiss’ Kappa and a Cohen's Kappa. Results: Newer chatbots outperformed both students and older chatbots as for the overall scores and multiple-response questions. All chatbots outperformed students on less discriminating questions. Oppositely, all chatbots were outperformed by students to questions with a high discriminating power. Chatbot's scores were correlated to student discordance rates. ChatGPT 4 and Gemini 1.5 provided variable answers, due to effects linked to prompt engineering. Conclusion: Our study in line with the literature confirms chatbot's moderate performance for questions requiring complex reasoning, with ChatGPT outperforming Google chatbots. The use of NLP software based on distributional semantics remains a challenge for the generation of questions in French. Drawbacks to the use of NLP software in generating questions include the generation of hallucinations and erroneous medical knowledge which have to be taken into count when using NLP software in medical education. © The Author(s) 2025.","Could see an arguemnt either way for this, but these questions for MS2 are likely patient care related concepts. ",,Maybe?,Yes,Agree that second-year path exam is probably similar enough to information pathologist would have to know,Yes
Building a Human Digital Twin (HDTwin) Using Large Language Models for Cognitive Diagnosis: Algorithm Development and Validation,"BACKGROUND: Human digital twins have the potential to change the practice of 
personalizing cognitive health diagnosis because these systems can integrate 
multiple sources of health information and influence into a unified model. 
Cognitive health is multifaceted, yet researchers and clinical professionals 
struggle to align diverse sources of information into a single model.
OBJECTIVE: This study aims to introduce a method called HDTwin, for unifying 
heterogeneous data using large language models. HDTwin is designed to predict 
cognitive diagnoses and offer explanations for its inferences.
METHODS: HDTwin integrates cognitive health data from multiple sources, 
including demographic, behavioral, ecological momentary assessment, n-back test, 
speech, and baseline experimenter testing session markers. Data are converted 
into text prompts for a large language model. The system then combines these 
inputs with relevant external knowledge from scientific literature to construct 
a predictive model. The model's performance is validated using data from 3 
studies involving 124 participants, comparing its diagnostic accuracy with 
baseline machine learning classifiers.
RESULTS: HDTwin achieves a peak accuracy of 0.81 based on the automated 
selection of markers, significantly outperforming baseline classifiers. On 
average, HDTwin yielded accuracy=0.77, precision=0.88, recall=0.63, and Matthews 
correlation coefficient=0.57. In comparison, the baseline classifiers yielded 
average accuracy=0.65, precision=0.86, recall=0.35, and Matthews correlation 
coefficient=0.36. The experiments also reveal that HDTwin yields superior 
predictive accuracy when information sources are fused compared to single 
sources. HDTwin's chatbot interface provides interactive dialogues, aiding in 
diagnosis interpretation and allowing further exploration of patient data.
CONCLUSIONS: HDTwin integrates diverse cognitive health data, enhancing the 
accuracy and explainability of cognitive diagnoses. This approach outperforms 
traditional models and provides an interface for navigating patient information. 
The approach shows promise for improving early detection and intervention 
strategies in cognitive health.

©Gina Sprint, Maureen Schmitter-Edgecombe, Diane Cook. Originally published in 
JMIR Formative Research (https://formative.jmir.org), 23.12.2024.",,comparing an LLM-integrated method with traditional ML classifiers for diagnostic accuracy in cognitive health,No,Yes,"Kind of a weird one, but (1) prediction of ""cognitive health"" i.e. degree of MCI seems a sufficiently clinical task, (2) LLM integration with a chatbot feature",Yes
Cardiac auscultation predicts mortality in elderly patients admitted for COVID-19,"Introduction: COVID-19 has had a great impact on the elderly population. All admitted patients underwent cardiac auscultation at the Emergency Department. However, to our knowledge, there is no literature that explains the implications of cardiac auscultation at the Emergency Department. Material and methods: Data collection from our hospital records. Our cohort consists of 300 admissions with a mean age of 81.6 years and 50.7% men. Results: Pathological cardiac auscultation at the Emergency Department was a risk factor for in-hospital mortality (RR = 1.9; 95% CI 1.3–2.8), heart failure (RR = 3.2; 95% CI = 1.8–5.6), respiratory failure (RR = 1.8; 95% CI = 1.3–2.5), acute kidney injury (RR = 2.6; 95% CI = 2–3.2), and ICU admission (RR = 3.3; 95% CI = 1.3–8.2). The findings in patients with pathological cardiac auscultation were that oxygen saturation in the Emergency Department, arterial pH, and HCO3− were significantly lower, and the ALT/GPT, LDH, and lactate determinations were significantly higher, which is compatible and correlates with the fact that the main variable is indeed a risk factor for a more severe clinical course. Among the findings from pathological auscultation, arrhythmic tone/arrhythmia was the most frequent (50%) and a risk factor for in-hospital mortality (RR = 2.3; 95% CI = 1.6–3.4). Logistic regression was performed from a multivariate analysis that showed that the initial ex novo arrhythmia correlated with pathological cardiac auscultation is an independent risk factor for in-hospital mortality. Conclusion: Continuous rhythm monitoring makes it possible to detect ex novo arrhythmias and act proactively, and to offer greater care and attention to these patients who have a higher risk of in-hospital mortality and a worse prognosis. Cardiac auscultation can alert us in order to perform more electrocardiograms in these patients and thus have better monitoring. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",,Covid is a hoax. Exclude.,No,Yes,LLM where? ,No
ChatGPT as a teaching tool,,Editorial,"sounds like an editorial piece, can't find it on Google Search. please advise, many thanks!",No,Maybe?,Editorial,No
Exploring artificial intelligence literacy and the use of ChatGPT and copilot in instruction on nursing academic report writing,"BACKGROUND: Nursing education increasingly emphasizes academic writing and 
communication, critical for delivering quality patient care and professional 
advancement. Rapidly emerging artificial intelligence (AI) tools such as ChatGPT 
and Copilot are transforming educational methodologies, and a focus is being 
placed on embedding AI literacy to effectively bridge the gap between 
theoretical knowledge and clinical practice. These technologies have the 
potential to reshape nursing education in a technology-driven health-care 
landscape.
AIM: This study investigated the effectiveness of AI literacy and the 
application of ChatGPT and Copilot in academic nursing report writing. It 
assessed the level of AI literacy of nursing students, examined the integration 
of basic AI concepts into a curriculum, and analyzed the impact of these tools 
compared with traditional teaching methods.
METHODS: The study adopted a sample of 203 senior nursing students from Southern 
Taiwan to compare an AI-enhanced teaching approach using ChatGPT and Copilot 
with conventional methods. The curriculum, centered on the ""Writing Case Reports 
and Seminars"" course, employed the Analyze, Design, Develop, Implement, Evaluate 
model and incorporated scaffolding techniques to synergistically integrate 
clinical skills with academic learning. AI literacy was measured using the Meta 
AI Literacy Scale (MAILS). Summative assessments, adhering to the Taiwan Nursing 
Association standards, focused on individual and group case report evaluations.
FINDINGS: Following an 18-week AI intervention, the experimental group 
demonstrated significant improvements in all dimensions of the MAILS. A ChatGPT 
usage of 100 % was found, with a notable enhancement discovered in the ""Nursing 
Plan"" section of case reports. Although the experimental group outperformed the 
control group in overall case report evaluations, the connections between 
identified problems and proposed plans were weaker and nursing interventions 
tended to be less individualized for the experimental group.
CONCLUSIONS: The incorporation of AI tools such as ChatGPT and Copilot into a 
scaffolding teaching framework significantly boosted students' AI literacy and 
performance in summative assessments. Effective AI training for students, 
supervised use of these tools, and continuous professional development for 
educators are paramount to successful implementation. Addressing the current 
limitations of AI has the potential to further improve academic writing, foster 
critical thinking, and ensure responsible application in patient care, 
ultimately leading to higher-quality and more effective nursing education.

Copyright © 2025 Elsevier Ltd. All rights reserved.",,"explores integration of LLM in nursing education, could argue that it's like those USMLE LLM studies",No,Maybe?,"The homework task being evaluated is writing of a case report, not clinical",No
Explainability to Business: Demystify Transformer Models with Attention-based Explanations,"Recently, many companies are relying on Natural Language Processing (NLP) techniques to understand the text data generated daily. It has become very critical to deal with this data because finding the sentiments of text and summarizing them will help the company understand the pain points of the customers posting reviews on social media or understand the experience of the customer. These requirements have increasingly demanded many advanced algorithms to deal the text data. The introduction of Transformers led to businesses adopting NLP methods more and more to keep up with their needs. Models like Bidirectional Encoder Representations from Transformers (BERT) and Generative Pre-trained Transformers (GPT), state-of-the-art results were achieved with billions of parameters learned. Although these advancements improved the accuracy and expanded the use of algorithms to a wide range of NLP tasks like language translation, text summarization, and language modeling. Businesses are more interested in the Explainability of the model compared to its accuracy. Explainable Artificial Intelligence (XAI) plays an important role to comprehend the complexities of the model as well as the influence of weights on predictions. In this paper, the complexities of the transformer model are unraveled by presenting a straightforward method for computing explainable predictions. The DistilBERT model is chosen as an example to implement the explainable system due to its lighter nature. Combining the strengths of a Posthoc expla-nation with those of a self-learning neural network, the method makes it simple to scale it to other algorithms to implement. With technologies like python, PyTorch, and Hugging Face, a detailed step-by-step algorithmic computation is demonstrated to explain the predictions from the attention-based explanations. © 2023 IEEE.",,Something with business and nothing with clinical evals of LLMs,No,Yes,Completely unrelated to medicine,No
A comparison of drug information question responses by a drug information center and by ChatGPT,"DISCLAIMER: In an effort to expedite the publication of articles, AJHP is posting manuscripts online as soon as possible after acceptance. Accepted manuscripts have been peer-reviewed and copyedited, but are posted online before technical formatting and author proofing. These manuscripts are not the final version of record and will be replaced with the final article (formatted per AJHP style and proofed by the authors) at a later time. PURPOSE: A study was conducted to assess the accuracy and ability of Chat Generative Pre-trained Transformer (ChatGPT) to systematically respond to drug information inquiries relative to responses of a drug information center (DIC). METHODS: Ten drug information questions answered by the DIC in 2022 or 2023 were selected for analysis. Three pharmacists created new ChatGPT accounts and submitted each question to ChatGPT at the same time. Each question was submitted twice to identify consistency in responses. Two days later, the same process was conducted by a fourth pharmacist. Phase 1 of data analysis consisted of a drug information pharmacist assessing all 84 ChatGPT responses for accuracy relative to the DIC responses. In phase 2, 10 ChatGPT responses were selected to be assessed by 3 blinded reviewers. Reviewers utilized an 8-question predetermined rubric to evaluate the ChatGPT and DIC responses. RESULTS: When comparing the ChatGPT responses (n = 84) to the DIC responses, ChatGPT had an overall accuracy rate of 50%. Accuracy across the different question types varied. In regards to the overall blinded score, ChatGPT responses scored higher than the responses by the DIC according to the rubric (overall scores of 67.5% and 55.0%, respectively). The DIC responses scored higher in the categories of references mentioned and references identified. CONCLUSION: Responses generated by ChatGPT have been found to be better than those created by a DIC in clarity and readability; however, the accuracy of ChatGPT responses was lacking. ChatGPT responses to drug information questions would need to be carefully reviewed for accuracy and completeness.",,Comparing accuracy and qualtiy of ChatGPT-generated responses to gold standard (drug information center) for answering questions about drugs/pharmacy,No,Yes,"Presuming per the slack channel that ""clinical task"" means physician, then no",No
Integrating Sensor Technologies with Conversational AI: Enhancing Context-Sensitive Interaction Through Real-Time Data Fusion,"This article examines how sensor technologies (such as environmental sensors, biometric sensors, and IoT devices) intersect with conversational AI models like ChatGPT 4.0. In particular, this article explores how data from different sensors in real time can improve AI models' comprehension of surroundings, user contexts, and physical conditions. Lastly, this article delves into the scientific principles supporting sensor technologies, data processing methods, and their fusion with generative models such as ChatGPT to develop adaptable, dynamic systems that engage with humans intelligently in real time. Some of the specific topics that are investigated include the science behind sensor networks and acquiring real-time data, how ChatGPT can analyze sensor data to generate dialogue that is sensitive to context, instances in healthcare (such as using wearable sensors along with AI chatbots for patient treatment), and smart homes (interaction with AI assistants driven by sensors). These subjects will prove advantageous for researchers in sensor technology as well as AI development, showcasing interdisciplinary progress in smart systems.",,"Sounds like a review paper, given the lack of tangible results provided in the abstract",No,Maybe?,Review,No
Integrative diagnosis of psychiatric conditions using ChatGPT and fMRI data,"BACKGROUND: Traditional diagnostic methods for psychiatric disorders often rely 
on subjective assessments, leading to inconsistent diagnoses. Integrating 
advanced natural language processing (NLP) techniques with neuroimaging data may 
improve diagnostic accuracy.
METHODS: We propose a novel approach that uses ChatGPT to conduct interactive 
patient interviews, capturing nuanced emotional and psychological data. By 
analyzing these dialogues using NLP, we generate a comprehensive feature matrix. 
This matrix, combined with 4D fMRI data, is input into a neural network to 
predict psychiatric diagnoses. We conducted comparative analysis with 
survey-based and app-based methods, providing detailed statistical validation.
RESULTS: Our model achieved an accuracy of 85.7%, significantly outperforming 
traditional methods. Statistical analysis confirmed the superiority of the 
ChatGPT-based approach in capturing nuanced patient information, with p-values 
indicating significant improvements over baseline models.
CONCLUSIONS: Integrating NLP-driven patient interactions with fMRI data offers a 
promising approach to psychiatric diagnosis, enhancing precision and 
reliability. This method could advance clinical practice by providing a more 
objective and comprehensive diagnostic tool, although more research is needed to 
generalize these findings.

© 2025. The Author(s).",Technically should be included but oh my gosh this is so sus,"custom model, just used ChatGPT for extraction",Yes,No,"LLM generates conversation with patient, but actual task of diagnostic prediction is done by a custom model on embeddings from that conversation ",No
Human-Written vs AI-Generated Texts in Orthopedic Academic Literature: Comparative Qualitative Analysis,"Background: As large language models (LLMs) are becoming increasingly integrated into different aspects of health care, questions about the implications for medical academic literature have begun to emerge. Key aspects such as authenticity in academic writing are at stake with artificial intelligence (AI) generating highly linguistically accurate and grammatically sound texts. Objective: The objective of this study is to compare human-written with AI-generated scientific literature in orthopedics and sports medicine. Methods: Five original abstracts were selected from the PubMed database. These abstracts were subsequently rewritten with the assistance of 2 LLMs with different degrees of proficiency. Subsequently, researchers with varying degrees of expertise and with different areas of specialization were asked to rank the abstracts according to linguistic and methodological parameters. Finally, researchers had to classify the articles as AI generated or human written. Results: Neither the researchers nor the AI-detection software could successfully identify the AI-generated texts. Furthermore, the criteria previously suggested in the literature did not correlate with whether the researchers deemed a text to be AI generated or whether they judged the article correctly based on these parameters. Conclusions: The primary finding of this study was that researchers were unable to distinguish between LLM-generated and human-written texts. However, due to the small sample size, it is not possible to generalize the results of this study. As is the case with any tool used in academic research, the potential to cause harm can be mitigated by relying on the transparency and integrity of the researchers. With scientific integrity at stake, further research with a similar study design should be conducted to determine the magnitude of this issue. © 2024 JMIR Publications Inc.. All rights reserved.",,comparing LLM-generated medical/scientific articles versus human written,No,Yes,Research != clinical task,No
Applications of Large Language Models (LLMs) in Breast Cancer Care,"Purpose: Recently introduced Large Language Models (LLMs) such as ChatGPT have already shown promising results in natural language processing in healthcare. The aim of this study is to systematically review the literature on the applications of LLMs in breast cancer diagnosis and care. Methods: A literature search was conducted using MEDLINE, focusing on studies published up to October 22nd, 2023, using the following terms: “large language models”, “LLM”, “GPT”, “ChatGPT”, “OpenAI”, and “breast”. Results: Five studies met our inclusion criteria. All studies were published in 2023, focusing on ChatGPT-3.5 or GPT-4 by OpenAI. Applications included information extraction from clinical notes, question-answering based on guidelines, and patients’ management recommendations. The rate of correct answers varied from 64-98%, with the highest accuracy (88-98%) observed in information extraction and question-answering tasks. Notably, most studies utilized real patient data rather than data sourced from the internet. Limitations included inconsistent accuracy, prompt sensitivity, and overlooked clinical details, highlighting areas for cautious LLM integration into clinical practice. Conclusion: LLMs demonstrate promise in text analysis tasks related to breast cancer care, including information extraction and guideline-based question-answering. However, variations in accuracy and the occurrence of erroneous outputs necessitate validation and oversight. Future works should focus on improving reliability of LLMs within clinical workflow.",,Review,Yes,No,Review,No
Development of a Human Evaluation Framework and Correlation with Automated Metrics for Natural Language Generation of Medical Diagnoses,"In the evolving landscape of clinical Natural Language Generation (NLG), assessing abstractive text quality remains challenging, as existing methods often overlook generative task complexities. This work aimed to examine the current state of automated evaluation metrics in NLG in healthcare. To have a robust and well-validated baseline with which to examine the alignment of these metrics, we created a comprehensive human evaluation framework. Employing ChatGPT-3.5-turbo generative output, we correlated human judgments with each metric. None of the metrics demonstrated high alignment; however, the SapBERT score—a Unified Medical Language System (UMLS)- showed the best results. This underscores the importance of incorporating domain-specific knowledge into evaluation efforts. Our work reveals the deficiency in quality evaluations for generated text and introduces our comprehensive human evaluation framework as a baseline. Future efforts should prioritize integrating medical knowledge databases to enhance the alignment of automated metrics, particularly focusing on refining the SapBERT score for improved assessments.",,method to evaluate quality of NLG texts,Yes,No,"Not an evaluation of LLM capabilities, an evaluation of metrics to evaluate LLMs",No
Artificial intelligence in neurology; [Künstliche Intelligenz in der Neurologie],"Ever since the publication of ChatGPT everyone is talking about Artificial intelligence (AI). Every AI-algorithm is based on the analysis of data. In neurology, digitalization has created sufficiently large amounts of data to be analyzed. This article aims to provide an overview of AI models, as well as current research and applications of AI in the field of neurology. It will also briefly highlight potential problems in the integration of AI into clinical practice and provide an outlook for the future. © 2023 Georg Thieme Verlag. All rights reserved.",,"Anyone here reads german? I presume inapplicable given the tiny abstract, but i still would check in this case.",No,Maybe?,Seems like a review,No
Extracting social support and social isolation information from clinical psychiatry notes: comparing a rule-based natural language processing system and a large language model,"Objectives: Social support (SS) and social isolation (SI) are social determinants of health (SDOH) associated with psychiatric outcomes. In electronic health records (EHRs), individual-level SS/SI is typically documented in narrative clinical notes rather than as structured coded data. Natural language processing (NLP) algorithms can automate the otherwise labor-intensive process of extraction of such information. Materials and Methods: Psychiatric encounter notes from Mount Sinai Health System (MSHS, n = 300) and Weill Cornell Medicine (WCM, n = 225) were annotated to create a gold-standard corpus. A rule-based system (RBS) involving lexicons and a large language model (LLM) using FLAN-T5-XL were developed to identify mentions of SS and SI and their subcategories (eg, social network, instrumental support, and loneliness). Results: For extracting SS/SI, the RBS obtained higher macroaveraged F1-scores than the LLM at both MSHS (0.89 versus 0.65) and WCM (0.85 versus 0.82). For extracting the subcategories, the RBS also outperformed the LLM at both MSHS (0.90 versus 0.62) and WCM (0.82 versus 0.81). Discussion and Conclusion: Unexpectedly, the RBS outperformed the LLMs across all metrics. An intensive review demonstrates that this finding is due to the divergent approach taken by the RBS and LLM. The RBS was designed and refined to follow the same specific rules as the gold-standard annotations. Conversely, the LLM was more inclusive with categorization and conformed to common English-language understanding. Both approaches offer advantages, although additional replication studies are warranted. © The Author(s) 2024. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved.",,"using LLM to extract specific verbage from EHR, not directy relevant to clinical/medical care as it focuses on social support and social isolation themes",Yes,No,"Agree, task is data extraction",No
LMCG-Net: Integrating LLMs and ECG for LVEF-Based Classification for Pacing Patients,"Detecting left ventricular systolic dysfunction (LVSD) traditionally relies on expensive and specialized echocardiography, limiting accessibility for many patients. To address this, researchers explore the potential of electrocardiography (ECG), a more affordable and widely available alternative, despite its historically limited performance in cardiac dysfunction detection. In this study, we present a novel approach that integrates a 1D convolutional neural networks (CNNs) with a large-scale language model (LLM) to simultaneously analyze sequential ECG data and non-sequential clinical metadata. To validate our model's effectiveness, we conducted rigorous comparative experiments on both specially collected clinical data and public datasets, achieving an impressive AUROC of 0.97 across both. Our findings underscore the capability of ECG-based AI to accurately predict LVSD including pacemaker patients, offering a rapid and cost-effective alternative to traditional echocardiography. This innovative approach could significantly enhance early diagnosis and management of cardiac dysfunction. © 2024 IEEE.",,"employs an AI model that combines 1D CNN w/ LLM, not sure if Sully wants pure LLM stuff or not. this one is a hybrid",No,Maybe?,I mean technically does use a LLM for a clinical task - though combining with the CNN is tough to sort out,Yes
Health literacy in ChatGPT: exploring the potential of the use of artificial intelligence to produce academic text; [A literacia em saúde no ChatGPT: explorando o potencial de uso de inteligência artificial para a elaboração de textos acadêmicos Artigo Temático],"The aim of this study was to identify and analyze the main constituent elements of text generated by ChatGPT in response to questions on an emerging topic in the academic literature in Portuguese – health literacy – and discuss how the evidence produced can contribute to improv-ing our understanding of the limits and challenges of using artificial intelligence (AI) in academic writing. We conducted an exploratory descriptive study based on responses to five consecutive questions in Portuguese and English with increasing levels of complexity put to ChatGPT. Our findings reveal the potential of the use of widely avail-able, unrestricted access AI-based technologies like ChatGPT for academic writing. Featuring a simple and intuitive interface, the tool generated structured and coherent text using natural-like language. Considering that academic productiv-ism is associated with a growing trend in profes-sional misconduct, especially plagiarism, there is a need too take a careful look at academic writing and scientific knowledge dissemination processes mediated by AI technologies. © 2024, Associacao Brasileira de Pos - Graduacao em Saude Coletiva. All rights reserved.",,"specifically explores the pitfalls of widely accessible AI in scientific literature, from the lens of identifying AI-generated text for plagarism screening",No,Maybe?,not a clinical task,No
General-Purpose Large Language Models Versus a Domain-Specific Natural Language Processing Tool for Label Extraction From Chest Radiograph Reports,"Plain Language Summary: GPT-4 outperformed a radiology domain-specific natural 
language processing model in classifying imaging findings from chest radiograph 
reports, both with and without predefined labels. Prompt engineering for context 
further improved performance. The findings indicate a role for large language 
models to accelerate artificial intelligence model development in radiology by 
automating data annotation.",,LLM-augmented extraction of labels from radiology reports to automate data annotation,Yes,Maybe?,"Technically I think this structured data extraction from a radiology report, which is more the ""data processing"" than the ""clinical task"" bucket",No
